Date,Expiry,Series Code,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of Contracts,Turnover,Open Interest,Change in OI,Underlying Value
29/01/2020,30-Jan-2020,BSX01C40500,40500.00,0.00,0.00,0.00,704.75,704.75,501.70,0,0.00,625,-,41198.66
28/01/2020,30-Jan-2020,BSX01C40500,40500.00,0.00,0.00,0.00,490.25,490.25,693.95,0,0.00,625,-,40966.86
27/01/2020,30-Jan-2020,BSX01C40500,40500.00,0.00,0.00,0.00,682.55,682.55,1162.15,0,0.00,625,-,41155.12
24/01/2020,30-Jan-2020,BSX01C40500,40500.00,0.00,0.00,0.00,1153.55,1153.55,965.50,0,0.00,625,-,41613.19
23/01/2020,30-Jan-2020,BSX01C40500,40500.00,0.00,0.00,0.00,946.05,946.05,751.45,0,0.00,625,-,41386.40
22/01/2020,30-Jan-2020,BSX01C40500,40500.00,0.00,0.00,0.00,717.10,717.10,944.70,0,0.00,625,-,41115.38
21/01/2020,30-Jan-2020,BSX01C40500,40500.00,0.00,0.00,0.00,914.40,914.40,1141.20,0,0.00,625,-,41323.81
20/01/2020,30-Jan-2020,BSX01C40500,40500.00,0.00,0.00,0.00,1114.75,1114.75,1553.40,0,0.00,625,-,41528.91
17/01/2020,30-Jan-2020,BSX01C40500,40500.00,0.00,0.00,0.00,1534.95,1534.95,1556.70,0,0.00,625,-,41945.37
16/01/2020,30-Jan-2020,BSX01C40500,40500.00,0.00,0.00,0.00,1533.55,1533.55,1519.40,0,0.00,625,-,41932.56
15/01/2020,30-Jan-2020,BSX01C40500,40500.00,0.00,0.00,0.00,1489.15,1489.15,1609.60,0,0.00,625,-,41872.73
14/01/2020,30-Jan-2020,BSX01C40500,40500.00,0.00,0.00,0.00,1577.25,1577.25,1546.95,0,0.00,625,-,41952.63
13/01/2020,30-Jan-2020,BSX01C40500,40500.00,0.00,0.00,0.00,1505.55,1505.55,1373.25,0,0.00,625,-,41859.69
10/01/2020,30-Jan-2020,BSX01C40500,40500.00,0.00,0.00,0.00,1311.95,1311.95,1281.90,0,0.00,625,-,41599.72
09/01/2020,30-Jan-2020,BSX01C40500,40500.00,1208.20,1208.20,1208.20,1208.20,1208.20,799.10,25,10.43,625,-,41452.35
08/01/2020,30-Jan-2020,BSX01C40500,40500.00,0.00,0.00,0.00,713.85,713.85,838.85,0,0.00,600,-,40817.74
07/01/2020,30-Jan-2020,BSX01C40500,40500.00,1047.35,1047.35,800.15,838.85,838.85,770.10,7950,3290.22,600,-,40869.47
