Date,Open,High,Low,Close,Adj Close,Volume
2017-12-27,34087.320313,34137.968750,33839.511719,33911.808594,33911.808594,10900
2017-12-28,33928.859375,34023.648438,33752.031250,33848.031250,33848.031250,9500
2017-12-29,33889.390625,34086.050781,33889.390625,34056.828125,34056.828125,12100
2018-01-01,34059.988281,34101.128906,33766.148438,33812.750000,33812.750000,7500
2018-01-02,33913.550781,33964.140625,33703.371094,33812.261719,33812.261719,10600
2018-01-03,33929.609375,33998.371094,33765.429688,33793.378906,33793.378906,9000
2018-01-04,33912.488281,33995.398438,33802.128906,33969.640625,33969.640625,10500
2018-01-05,34021.269531,34188.851563,34020.839844,34153.851563,34153.851563,14700
2018-01-08,34216.328125,34385.671875,34216.328125,34352.789063,34352.789063,13500
2018-01-09,34431.609375,34488.031250,34343.410156,34443.191406,34443.191406,11200
2018-01-10,34538.781250,34565.628906,34311.628906,34433.070313,34433.070313,8500
2018-01-11,34471.480469,34558.878906,34400.609375,34503.488281,34503.488281,8100
2018-01-12,34578.988281,34638.421875,34342.160156,34592.390625,34592.390625,7800
2018-01-15,34687.210938,34963.691406,34687.210938,34843.511719,34843.511719,14600
2018-01-16,34877.710938,34936.031250,34735.550781,34771.050781,34771.050781,53600
2018-01-17,34753.800781,35118.609375,34700.820313,35081.820313,35081.820313,35000
2018-01-18,35366.449219,35507.359375,35166.441406,35260.289063,35260.289063,15700
2018-01-19,35339.109375,35542.171875,35221.160156,35511.578125,35511.578125,35200
2018-01-22,35613.968750,35827.699219,35544.679688,35798.011719,35798.011719,13700
2018-01-23,35868.191406,36170.828125,35863.980469,36139.980469,36139.980469,27000
2018-01-24,36161.621094,36268.191406,36036.511719,36161.640625,36161.640625,25200
2018-01-25,36208.390625,36247.019531,35823.351563,36050.441406,36050.441406,15100
2018-01-29,36106.359375,36443.980469,36093.359375,36283.250000,36283.250000,16900
2018-01-30,36277.121094,36291.820313,35993.410156,36033.730469,36033.730469,18100
2018-01-31,35951.640625,36050.691406,35818.410156,35965.019531,35965.019531,11000
2018-02-01,36048.988281,36256.828125,35501.738281,35906.660156,35906.660156,25200
2018-02-02,35707.601563,35738.128906,35006.410156,35066.750000,35066.750000,18000
2018-02-05,34718.851563,34874.171875,34520.800781,34757.160156,34757.160156,23500
2018-02-06,33753.781250,34521.011719,33482.808594,34195.941406,34195.941406,22900
2018-02-07,34563.300781,34666.328125,34008.421875,34082.710938,34082.710938,13100
2018-02-08,34208.109375,34634.351563,34108.761719,34413.160156,34413.160156,35700
2018-02-09,34002.449219,34070.730469,33849.648438,34005.761719,34005.761719,15200
2018-02-12,34203.339844,34351.339844,34115.121094,34300.468750,34300.468750,15500
2018-02-14,34436.980469,34473.429688,34028.679688,34155.949219,34155.949219,21100
2018-02-15,34207.570313,34535.078125,34186.011719,34297.468750,34297.468750,13000
2018-02-16,34411.238281,34508.238281,33957.328125,34010.761719,34010.761719,18000
2018-02-19,34053.949219,34122.960938,33554.371094,33774.660156,33774.660156,18000
2018-02-20,33913.941406,33960.949219,33657.890625,33703.589844,33703.589844,19200
2018-02-21,33813.828125,33911.359375,33702.500000,33844.859375,33844.859375,17700
2018-02-22,33817.089844,33868.738281,33691.421875,33819.500000,33819.500000,11800
2018-02-23,33832.000000,34167.601563,33832.000000,34142.148438,34142.148438,21600
2018-02-26,34225.718750,34483.390625,34225.718750,34445.750000,34445.750000,8400
2018-02-27,34558.558594,34610.789063,34314.871094,34346.390625,34346.390625,12700
2018-02-28,34155.628906,34302.738281,34076.449219,34184.039063,34184.039063,12000
2018-03-01,34141.218750,34278.628906,34015.789063,34046.941406,34046.941406,11300
2018-03-05,34034.281250,34034.281250,33653.410156,33746.781250,33746.781250,16900
2018-03-06,34047.429688,34060.128906,33209.761719,33317.199219,33317.199219,11800
2018-03-07,33279.390625,33331.210938,32991.140625,33033.089844,33033.089844,10700
2018-03-08,33244.519531,33439.968750,33037.480469,33351.570313,33351.570313,15500
2018-03-09,33465.050781,33519.488281,33256.421875,33307.140625,33307.140625,8200
2018-03-12,33468.160156,33962.480469,33468.160156,33917.941406,33917.941406,12200
2018-03-13,33818.218750,34077.320313,33722.960938,33856.781250,33856.781250,14300
2018-03-14,33733.550781,33875.148438,33580.691406,33835.738281,33835.738281,9300
2018-03-15,33843.468750,33866.281250,33637.281250,33685.539063,33685.539063,17300
2018-03-16,33685.859375,33691.320313,33119.921875,33176.000000,33176.000000,12700
2018-03-19,33268.968750,33275.789063,32856.539063,32923.121094,32923.121094,9800
2018-03-20,32876.480469,33102.738281,32810.859375,32996.761719,32996.761719,14600
2018-03-21,33090.820313,33354.929688,33070.531250,33136.179688,33136.179688,10100
2018-03-22,33206.988281,33281.769531,32963.308594,33006.269531,33006.269531,12900
2018-03-23,32650.890625,32720.029297,32483.839844,32596.539063,32596.539063,11400
2018-03-26,32536.439453,33115.410156,32515.169922,33066.410156,33066.410156,16400
2018-03-27,33172.980469,33371.039063,33077.128906,33174.390625,33174.390625,15100
2018-03-28,33098.089844,33104.109375,32917.660156,32968.679688,32968.679688,12300
2018-04-02,33030.871094,33289.339844,32997.878906,33255.359375,33255.359375,7600
2018-04-03,33197.421875,33402.941406,33153.828125,33370.628906,33370.628906,11100
2018-04-04,33437.519531,33505.531250,32972.558594,33019.070313,33019.070313,9700
2018-04-05,33289.960938,33637.460938,33267.859375,33596.800781,33596.800781,11000
2018-04-06,33608.589844,33697.511719,33501.371094,33626.968750,33626.968750,10800
2018-04-09,33653.609375,33846.500000,33578.910156,33788.539063,33788.539063,37400
2018-04-10,33880.109375,33949.980469,33813.300781,33880.250000,33880.250000,13600
2018-04-11,33970.351563,33981.539063,33750.738281,33940.441406,33940.441406,9300
2018-04-12,33987.550781,34177.441406,33924.878906,34101.128906,34101.128906,6600
2018-04-13,34167.531250,34313.140625,34103.531250,34192.648438,34192.648438,8300
2018-04-16,33944.730469,34341.460938,33899.339844,34305.429688,34305.429688,7100
2018-04-17,34381.800781,34434.140625,34229.828125,34395.058594,34395.058594,10400
2018-04-18,34443.421875,34591.808594,34270.039063,34331.679688,34331.679688,8200
2018-04-19,34403.671875,34478.820313,34358.910156,34427.289063,34427.289063,7600
2018-04-20,34434.140625,34487.328125,34311.289063,34415.578125,34415.578125,10200
2018-04-23,34493.691406,34663.949219,34259.269531,34450.769531,34450.769531,9500
2018-04-24,34491.378906,34706.710938,34465.488281,34616.640625,34616.640625,8400
2018-04-25,34593.171875,34631.269531,34400.558594,34501.269531,34501.269531,7800
2018-04-26,34532.949219,34747.968750,34505.621094,34713.601563,34713.601563,10000
2018-04-27,34747.039063,35065.371094,34744.730469,34969.699219,34969.699219,16200
2018-04-30,35021.199219,35213.300781,35004.000000,35160.359375,35160.359375,6900
2018-05-02,35328.910156,35357.148438,35072.421875,35176.421875,35176.421875,8700
2018-05-03,35257.308594,35257.308594,35020.078125,35103.140625,35103.140625,7700
2018-05-04,35144.960938,35206.550781,34847.609375,34915.378906,34915.378906,7800
2018-05-07,34983.589844,35259.808594,34977.738281,35208.140625,35208.140625,12600
2018-05-08,35349.851563,35388.871094,35136.011719,35216.320313,35216.320313,14200
2018-05-09,35198.078125,35404.828125,35134.199219,35319.351563,35319.351563,9400
2018-05-10,35353.960938,35500.761719,35203.851563,35246.269531,35246.269531,8400
2018-05-11,35287.988281,35596.148438,35262.058594,35535.789063,35535.789063,8900
2018-05-14,35555.828125,35642.718750,35456.558594,35556.710938,35556.710938,9000
2018-05-15,35537.851563,35993.531250,35497.921875,35543.941406,35543.941406,12000
2018-05-16,35452.351563,35543.890625,35241.628906,35387.878906,35387.878906,10900
2018-05-17,35483.621094,35510.011719,35087.820313,35149.121094,35149.121094,11000
2018-05-18,35143.589844,35163.109375,34821.621094,34848.300781,34848.300781,9500
2018-05-21,34873.160156,34973.949219,34593.820313,34616.128906,34616.128906,6500
2018-05-22,34601.488281,34754.601563,34550.218750,34651.238281,34651.238281,12000
2018-05-23,34656.628906,34668.468750,34302.890625,34344.910156,34344.910156,11300
2018-05-24,34404.140625,34741.460938,34367.828125,34663.109375,34663.109375,15800
